EMOT|SIT
6|fail an examn because -PRON- do not work hard enough .
7|-PRON- be late meet someone for an appointment .
3|when -PRON- wife tell -PRON- that the refrigerator have stop work .
5|-PRON- dog have be run over and die near the house .   -PRON- have to pick á -PRON- up , cold and glassy eye , to get rid of the corpse .
2|read a horror story alone .
6|when -PRON- wet -PRON- head ( or bed ? ) one day -PRON- sister discover -PRON- and report á -PRON- to the other sibling . so -PRON- mother have to scold -PRON- .
5|seeing maltreat , dead animal .
2|fear of thief .
5|[ there have be very few instance of disgust , as far as -PRON- can á remember -PRON- be not important or worth mention . ]
1|after have at last finish -PRON- master 's thesis , -PRON- feel great á joy and relief .   -PRON- have be haunt by the thesis during the á whole of -PRON- study .
2|one afternoon , help at home on the property , -PRON- be á ( muster ) get in cattle and a bull turn and come for -PRON- .
4|-PRON- be sad because some relation to friend be not very good .
2|-PRON- go to the apartment of -PRON- boyfriend and see some people á before -PRON- door . -PRON- think that something have happen .
2|one day a fierce look man come to -PRON- house   and say that -PRON- á father should apologize to -PRON- , however -PRON- be alone at home .
7|[ -PRON- have never feel this emotion . ]
4|[ no response . ]
7|when -PRON- do something wrong in the past and deny have do -PRON- á when ask about -PRON- later .
3|as in sadness ( a ) , relate to this slaghter of fur - seal .
5|during these Summer vacation a schoolmate who be not in -PRON- á class go to Britain .   before -PRON- leave , -PRON- classmate and some á of -PRON- who be accquainte with -PRON- have a B.B.Q on the beach .   á when -PRON- arrive -PRON- see that some people , who be not close á friend of the depart person(person A ) , be play mahjong .   á some other be play bridge and a have nothing to do , besides á -PRON- be a who have prepare the food .   later when -PRON- want to talk á and -PRON- classmate do not even have the decency to listen to -PRON- .   á -PRON- only ask -PRON- a few question half - heartedly and then -PRON- á talk on -PRON- own .   some of -PRON- conversation be against -PRON- and   á another classmate .
5|class leader get -PRON- to do thing -PRON- do not want to do .
3|find out about some girl who have be nice to the class á leader in order to go to the neuropsychology lecture ( English á one ) .
2|when somebody break into -PRON- home one night when -PRON- mother be á out , and -PRON- sister and -PRON- have just go to bed .
2|one of -PRON- fellow student have bunk field work and in -PRON- attempt á to cover up for -PRON- -PRON- -PRON- be expose , though not directly .   á -PRON- be to meet -PRON- field work suprevisor and -PRON- be afraid of á the consequence .
1|when the lady who be now -PRON- wife accept -PRON- proposal to be -PRON- á lover and future wife .
3|while at school -PRON- have to write an essay for do something wrong á that -PRON- do not do . -PRON- write the essay about how -PRON- be mistreat and á get Saturday morning detention along with a few other kid , but á -PRON- do not show up .
4|when a friend of mine tell -PRON- that -PRON- be go to commit á suicide .
4|[ when friend and colleague talk bad about -PRON- . ]
6|when -PRON- fail one of the first year 's course .
5|when -PRON- fail the   grade 7 exam .
3|anger at doctor for -PRON- treatment of -PRON- after give birth . á -PRON- leave part of placenta behind and -PRON- bleed heavily for twelve á week - due to this , -PRON- feel weak and emotional , and -PRON- say -PRON- á need psychiatric treatment and give -PRON- no support .
3|when people harrass -PRON- -PRON- feel oppress by -PRON- behavior .
3|[ no response . ]
6|[ no response . ]
6|find out that China do not have enough foreign currency to á buy book .
3|"after see an \uncertain\ "" child work on a model for several á"
6|-PRON- feel ashamed at the fact that even after 35 year of independence    á 70 % of the indian poulation be still below the poverty line .
7|-PRON- uncle have promise to buy -PRON- a bicycle . as time go by and -PRON- á have not receive -PRON- yet , -PRON- ask -PRON- father to buy -PRON- for -PRON- . á later -PRON- hear that -PRON- uncle have want to offer -PRON- the bicycle on á -PRON- birthday two week later .
7|when -PRON- laugh at a lame man walk down the road , -PRON- look á funny at the time but later -PRON- feel lousy .   -PRON- be the same day á that -PRON- have steal some coin from -PRON- mother in the shop .
3|there be a mad boy in -PRON- village . this boy hit -PRON- with a raw á paw - paw in the face .
1|-PRON- receive money from -PRON- father at a time when -PRON- be completely á broken .
4|at the death of -PRON- husband 's father 's mother which occur á during university examination and therefore -PRON- be unable to á attend -PRON- funeral .
5|after -PRON- +2 , when -PRON- do not get admission in B.E -PRON- feel disgusted .
6|when -PRON- get -PRON- finger stick in one of the side hole of the door , á in the tube .
3|a friend of mine use butter instead of oil when -PRON- be cook . -PRON- á be always angry about that , because -PRON- be an unnecessary luxury . á recently -PRON- both be cook and -PRON- want to use butter again . á when -PRON- have already put the oil into the pan , -PRON- pour -PRON- out á again and put the butter into the pan .
6|-PRON- experience long ago when -PRON- be sightseeing Bulgarians in a á foreign language .
4|find out that -PRON- grandfather have die . -PRON- live in England and á -PRON- have not see -PRON- for 10 year .
1|-PRON- feel joy usually after each take exam , the last one be in á February .
4|in -PRON- penultimate job -PRON- be responsible of a section with á several employer , after several year of dedication -PRON- be á dismiss by a new chef , say that -PRON- be incompetent .
3|when -PRON- talk to silly , petty - minded and unmanageable people .
5|"when a \friend\ "" wake -PRON- up in the middle of a blessful sleep by á"
7|when -PRON- be make to feel responsible for the emotional state a friend of á mine be in .
6|insult by a woman in public .
3|despite -PRON- good performance and excellent result the management á refuse to meet -PRON- demand .
1|when -PRON- get the loan for -PRON- study .
3|-PRON- feel a strong anger when -PRON- be treat unjustly .
4|[ -PRON- feel sad when somebody be unjust to -PRON- . ]
2|[ -PRON- be think about death . ]
6|when -PRON- be take an exam in grade 5 .   the examinator find -PRON- á with a note - book and accuse -PRON- of copying , all the student á laugh at -PRON- .
4|-PRON- friend be badly hurt .
5|[ Can not remember . ]
6|when some of -PRON- close friend and colleague talk about -PRON- and á -PRON- work and say that -PRON- be the bright student of the college .
4|when -PRON- take the B.A exam , -PRON- be expect a 1st class even though á -PRON- have not do very well . when the result come out -PRON- feel sad as á -PRON- have miss the 1st class by 12 mark .
3|after a long trip in -PRON- dad 's van without incident -PRON- stop to á fill the tank with gas and dent the side of the van against the á pole . then -PRON- car electrical system would not work when -PRON- try á to drive home from -PRON- house .
3|korean judge cheat .
3|fail to be elect to be a class leader .
5|when -PRON- girlfriend tell -PRON- that -PRON- be no long interested in á -PRON- .
6|-PRON- father insult by other people .
5|[ the previous incident hold good here also . ]
4|-PRON- want to be pregnant and do not succeed , so -PRON- be depressed     á at every menstruation .
5|when -PRON- have to sleep in a bed at a hostel , which be full of dirt .
4|-PRON- be tell that a friend of mine be go to Mexico for good .
2|when -PRON- be involve in a car accident last November , after the á first fall of snow .   -PRON- lose control of the car and -PRON- spin round á and land on the opposite side of the road , on the hard á shoulder .   -PRON- be stop by a pole on top of a bank slope down á to a stream .
7|one day -PRON- mother go to visit -PRON- friend .   when -PRON- come back á -PRON- scold -PRON- for not have keep the house in order , so -PRON- á decide not to talk to -PRON- .
1|talk to a close friend .
3|be refuse to attend the neuropsychology lecture in the á medical university .
7|yesterday -PRON- boyfriend and -PRON- want to play billiard . however á there be boy play ( 5 time ) . -PRON- boyfriend then be feed up á and chagrin . in such case -PRON- think -PRON- be -PRON- fault .
7|"boyfriend do clean in situation where -PRON- be -PRON- job to do á -PRON- . later snap at -PRON- over trivial thing . -PRON- look downcast . á -PRON- feel guilty - \he 's just do all that work for me\ "" . """
5|scuffle in a carriage of the underground in Vienna , three drunk á man thrash a man in a wheel chair - -PRON- watch the scene from á another carriage .
3|when -PRON- arrange -PRON- holiday in Paris , and -PRON- girlfriend raise á criticism all the time .
2|-PRON- be attack , stand in a doorway , by a pack of 5 dog , á alsatian and farm dog with -PRON- escape route block by a shut á fence .
1|the final mark be to be give in the morning .   -PRON- want to get á there late because -PRON- be very afraid .   when -PRON- arrive there , á everybody be very happy and -PRON- have also pass .   -PRON- have a á wonderful time all day long .
6|after take a difficult midterm for one of -PRON- class , -PRON- feel á shame for not study as much as -PRON- should have . -PRON- be ashamed of á the result of the midterm .
4|while still at school a friend die of cancer , after be ill á for a long time , -PRON- be 17 yrs old .
2|disappointment over a friend .
4|a sudden doubt make -PRON- run for a long time in a rainy autumn á night . when -PRON- reach the intended place -PRON- see -PRON- beloved in á another man 's arm . a sudden blow , grief , -PRON- can not qualify -PRON- , -PRON- á be painful for -PRON- to remember about -PRON- .
1|when -PRON- be accept for a course on finance and accounting .
1|-PRON- watch a football match with -PRON- old friend .   the performance á of the team be very good and the team member be full of á spirit .   the match be excellent and every time a goal be score á -PRON- feel excited .
1|-PRON- meet -PRON- present boyfriend on a boat trip to England .   -PRON- have á say that -PRON- would call each other when -PRON- get back to Sweden ( -PRON- á be not go to the same town in England ) .   as soon as -PRON- walk á in -PRON- call from England as -PRON- could not wait till -PRON- come á home .
3|-PRON- be in a disco and the evening be not at all pleasant .   á despite -PRON- not know why , -PRON- be angry with -PRON- companion .   -PRON- let á -PRON- feel -PRON- bad humour as -PRON- can not hide -PRON- feeling .
4|when -PRON- beloved grandfather die .
1|-PRON- 'd just get the top mark in an exam .
2|when -PRON- be dream that -PRON- be be chase , in the upmost of á horror the door of the close feel down synchronicaly with the á dream scare .
7|car accident . -PRON- let a 16-year old , incompetent parson take the á wheel and -PRON- feel very guilty about what happen even though -PRON- á suffer the bad injury .
3|-PRON- mother treat -PRON- unjustly as if -PRON- be a little child . -PRON- say á mean thing . -PRON- be unable to defend -PRON- adequately .
2|-PRON- have be watch a triller a dark night in the country and -PRON- á have to go the outside toilet on -PRON- own .
2|when -PRON- be on holiday , walk back to where -PRON- be stay , at á night , and two man start closely follow -PRON- . there be nobody á around that -PRON- could run to .
6|[ no response . ]
4|"one night a very dear person say : \I hate you\ "" . of course -PRON- be á"
2|-PRON- feel fear once , when the car in which -PRON- travel direct á towards the precipice along the road .
5|when other people refuse to do -PRON- house job and give the á work to someone else .
6|when -PRON- be a child -PRON- play -PRON- mother a nasty trick to make -PRON- á feel hurt .
4|Could not get into the university -PRON- want to get in .
2|when -PRON- be travel by tram , -PRON- trip and fall against the á door .   -PRON- think that -PRON- be go to fall out .
6|when -PRON- imitate a teacher behind -PRON- back - walking very silly .
6|when a certain drunk man slap -PRON- buttock when -PRON- be quietly á stand wait for a bus .
5|see someone lick -PRON- dining bowl .
4|-PRON- meet a girl some time ago and -PRON- care very much about -PRON- but -PRON- á happen so that -PRON- leave each other . -PRON- feel some sort of sadness , -PRON- think á -PRON- can call -PRON- so .
7|-PRON- feel guilty when -PRON- should have do something at any rate but -PRON- á have not do -PRON- .
5|when -PRON- be about to clean the draining board and see -PRON- look á underneath the sink ( -PRON- live in a student hostel ) .
6|sometime back -PRON- be come from the ward and lice be all over á -PRON- uniform since patient 's blanket have a lot of lice . -PRON- á happen that -PRON- boyfriend pick some lice from -PRON- white uniform . á -PRON- be so ashamed .
7|feel helpless , not be able to accomplish what -PRON- really á want to do .
3|see in the tv South Korea cheat in the Asian Olympic game .
1|when -PRON- unexpectedly receive birthday greeting from a person -PRON- á like .
5|-PRON- friend promise to take -PRON- out for a movie but -PRON- do not turn á up .
7|one day , -PRON- be alone on duty when a patient choke while eat .   á -PRON- run to -PRON- and try to make -PRON- breath , but -PRON- be too late .
4|"-PRON- be on a class excursion , by boat to Stockholm .   at night -PRON- á class mate prepare to clebrate -PRON- motive in life which be á \life be merriment\ "" .   -PRON- feel depressed about the way -PRON- seek á"
3|the government 's announcement of the withdrawal of the student á allowance in 1984 .
3|-PRON- have a very good friend in secondary school .   the year after -PRON- á graduation -PRON- prepare to celebrate -PRON- birthday and -PRON- call off á all -PRON- appointment .   -PRON- get together the other friend and -PRON- á be ready to give the entire day to -PRON- .   however this friend á disappear on -PRON- birthday .   when -PRON- phone another friend -PRON- á didcovere thay -PRON- be busy , -PRON- do not call -PRON- anymore .
7|"when -PRON- \hated\ "" one of mmy flatmate who be nice to -PRON- . """
5|do this pointless questionnaire .
1|meet good friend at the airport ( boyfriend ) who -PRON- have miss á terribly .
4|when feel lonely about write -PRON- family .
4|-PRON- happen when -PRON- lose two very intimate friend in a car á accident .
3|when a relative , who have come to -PRON- place , create untidyness á and dirtyness .
3|-PRON- be walk on a street alone in the afternoon when there be á not too many people on the street .   a couple of guy be á follow -PRON- and -PRON- be ignore -PRON- .   suddenly one of -PRON- come á in front of -PRON- and start use dirty language and harrassing á -PRON- .   -PRON- get very angry and want to strike back at -PRON- .
4|when -PRON- sister leave to go home , in Sweden , after the Christmas á Holidays .
3|-PRON- feel -PRON- when -PRON- see that somebody be traye to make a stupid of á -PRON- .
5|at a social event when none of the guest would help to serve á food or clear table . -PRON- be all beneath -PRON- .
6|when -PRON- oversleep for the second time on the day -PRON- have an á examination .
2|go home alone through the forest after a girl guide ( scout ? ) á meeting .
5|-PRON- read in the newspaper about a 21 yr . old woman who be find á naked and dead along a roadside . -PRON- turn out -PRON- have have two á relative 14 and 19 who be kidnap , rape and kill early .
1|-PRON- be Saturday , -PRON- duty be over for a few hour and -PRON- could á at last be with the people -PRON- want to see .
7|-PRON- have waste some time instead of do something -PRON- need to do á to give to a friend . ( also in the time -PRON- waste -PRON- have do some á thing -PRON- do not consider morally right ) .
6|once by coincidence -PRON- clutch a stranger ( in a rather intimate á way ) , think -PRON- be -PRON- boyfriend . when by hindsight -PRON- á feel ashamed when think about -PRON- .
3|when -PRON- put the blame on -PRON- when -PRON- score the third goal at the á match .
1|when -PRON- be select to study here at UNZA .
3|someone who be speed be force to slow down when -PRON- pull á out onto the road and proceed to abuse -PRON- at the next set of á traffic light .
7|when -PRON- be a child -PRON- often quarrel with -PRON- young sister . á once -PRON- become so angry that -PRON- slap -PRON- in the face . -PRON- cry á and shout so that -PRON- mother come in and scold -PRON- .
6|in a play ( secret friend ) during the time of the high school I á have to give a present to a boy and -PRON- be very ridiculous because á of this .
7|-PRON- be unfaithful to -PRON- partner once when -PRON- be work abroad á for a long period .
2|[ no response . ]
6|when -PRON- contact a sexually transmit disease and the á lecturer come to know about -PRON- as -PRON- be -PRON- who treat -PRON- for á -PRON- .
2|in 1977 when -PRON- friend be catch by a crocodile .   -PRON- be á swim in a river on whose bank -PRON- primary school be á situate .   when -PRON- friend be catch , -PRON- be on the bank of the á river and some of -PRON- be still in the middle of the river .   -PRON- á be very frightened .
7|when -PRON- mislead a person : -PRON- say that -PRON- would do -PRON- a á favour and do not .
5|-PRON- be drink coffee in a cafe and -PRON- find a piece of scrubber á in -PRON- cup .
4|when -PRON- argue with -PRON- mother about the way -PRON- treat -PRON- two á child differently .
5|-PRON- flatmate and close friend live and sleep with another á close friend of -PRON- .
7|-PRON- bump -PRON- dad 's car in a lamp post .   -PRON- be not at home then , á neither be -PRON- home when -PRON- leave for the campus .   -PRON- do not tell á -PRON- about the accident and -PRON- will never tell -PRON- .
2|that day -PRON- be alone at home after come home from school .   -PRON- do á not know where everyone else have go , -PRON- keep wait for -PRON- to á come back and nobody come .   -PRON- be get very late and -PRON- be á terrified .
7|-PRON- feel guilty when -PRON- fail to take an exam though -PRON- have have á enough time to read for -PRON- but -PRON- have not make use of -PRON- .
1|when -PRON- be notify that -PRON- have be accept as a psychology á student .
6|if -PRON- do not go to lecture , -PRON- often feel ashamed .
7|-PRON- be the secretary of an association , and during the last meeting á -PRON- forget to take the minute .
6|-PRON- flet shameful when -PRON- learn that -PRON- cook Nsima which be full á of lamp in -PRON- .
2|-PRON- get lose in a foreign town . -PRON- do not know the language of that á country and -PRON- take -PRON- hour to meet -PRON- friend again .
7|-PRON- be catch sneak sweet .
3|-PRON- have a discussion with -PRON- mother concern -PRON- sister 's divorce , á -PRON- disagree strongly .
4|when -PRON- be not accept as a student in finance and accounting .
6|[ never feel the emotion . ]
1|-PRON- receive an assignment back , and get an A+ grading .
1|-PRON- get a good reaction from -PRON- tutor and tutorial group for a á presentation -PRON- have give that -PRON- be very worried about .
5|a railway officer , when ask by the ticket checker to produce á -PRON- ticket , get very aggressive and start abuse and use á -PRON- authority in a very wrong way .
5|once -PRON- offend a friend , instead of -PRON- come to -PRON- to ask and á discuss the matter -PRON- be just tell other people about -PRON- and á say all -PRON- could about -PRON- .
6|-PRON- feel ashamed when -PRON- be confront by a teaching assistant that á a close friend and -PRON- be accuse of cheat on a math exam .
6|see the film about eight Nations Army conquer Beijing .
2|a certain night during initiation .
5|when -PRON- first see the state of a cafeteria in the ground of the á university . due to student own lack of concern for the á environment in which -PRON- eat and drink . rubbish and spill tea á and coffee leave everywhere .
4|-PRON- sister be in coma for 3 month ( due to a train accident ) . now á -PRON- brainfunction be disturb . -PRON- will never be able to walk á and -PRON- can hardly talk .
1|last course , when -PRON- pass with good mark three subject which -PRON- have á previously fail .
1|after sit for the Standard 8 exam for the second time in á 1979 , -PRON- have great joy when -PRON- hear that -PRON- be successful in the á examination when the result be out .
4|when one of -PRON- good friend commit siucide during these á holiday .
6|-PRON- spend an evening with -PRON- girl - friend . when -PRON- want to go to á bed -PRON- be totally drunk . next morning -PRON- feel rather ashamed .
5|-PRON- feel disgust of dirty .
5|when an alcoholic stand dribble over a food counter .
3|-PRON- be angry when -PRON- hear that -PRON- only girl be go about with á another man . so -PRON- decide to drop -PRON- but later the story come to á be untrue .
4|when -PRON- see people with burn -PRON- feel sad , actually -PRON- can not even á express -PRON- feeling as -PRON- think that -PRON- must suffer a lot .
3|-PRON- feel much anger and perhaps -PRON- feel -PRON- till now , against -PRON- á girlfriend 's sister who incite -PRON- to betray -PRON- just when -PRON- á need -PRON- very much . -PRON- do not think of anything , simply á pass over everything .
7|the sense of guilt come over -PRON- too , when -PRON- interrupt -PRON- á study . why ? because -PRON- feel guilty before -PRON- parent ! -PRON- á believe in -PRON- though this event do not make -PRON- disbelieve -PRON- .
4|at the death of -PRON- friend 's father and especially as this á happen ten day before -PRON- wedding .
7|when -PRON- be force to decline the invitation to -PRON- mother 's 70th á birthday because of -PRON- work committment in another area .
6|-PRON- have not punch a ticket in the bus because -PRON- have a card . but á when the ticket - collector come -PRON- turn out that -PRON- have forget á -PRON- . the shame -PRON- feel be great though -PRON- be not do on purpose .
5|when -PRON- take a look into a slaughter - house and when listen to á story about torture people or animal .
2|when -PRON- be ring up a guy who be -PRON- teen idol , and be in á Auckland . -PRON- be really scared , -PRON- do not know what to say or do .
4|the girl -PRON- be see do not want to have a serious relationship . á
7|-PRON- be at secondary school and -PRON- be make a lot of noise .   the á teacher come to ask -PRON- as to who be make all the noise .   -PRON- do á not own up so the   whole class be punish .
6|-PRON- be suppose to do something and do not . the person be really á dependiong on -PRON- .
2|when -PRON- decide to leave -PRON- steady , secure employment to come to á university . because -PRON- do not know if -PRON- could cope with all the á requirement of study and also be old -PRON- do not know if -PRON- á would enjoy mix with young people , also financial á insecurity .
2|one evening , when -PRON- have go fish with -PRON- friend , -PRON- hear á the roar of a lion near by and have to run for -PRON- life .
3|-PRON- cousin be play at home and one of -PRON- break a decorative á object which be very precious to -PRON- .
3|there be a lot of irritation between -PRON- and a person who live á in the same house where -PRON- live . suddenly -PRON- become too much for -PRON- and -PRON- á accuse -PRON- of several thing .
2|while -PRON- be push a court roller out of a ditch , -PRON- slip and á fall down and the roller roll back towards me -down slope - -PRON- be á a miracle that -PRON- still have -PRON- leg intact .
6|when a close friend entrust -PRON- with a secret and -PRON- let the cat á out of the bag .
1|-PRON- write a difficult exam at one time while in -PRON- Secodary School . á when the result be announce on the radio , -PRON- come second out á of 80 student hence -PRON- feel joy .
4|to fight with a sister and to know that -PRON- do not care .
7|when -PRON- make a mistake at work and when question about -PRON- á pretend -PRON- have nothing to do with the problem .
5|-PRON- see a film about the nazi concentration camp during the war . á after the film -PRON- feel disgust .
7|when -PRON- grandfather be in a nursing home when -PRON- be young -PRON- never á want to go and sometimes do not have to and later -PRON- feel á guilty .
1|-PRON- boy - friend tell -PRON- that -PRON- would take -PRON- to the training of á the life - save dog .
6|-PRON- article not choose by the college newspaper
4|close friend leave to go overseas for an indefinite period . á farewell scene at airport .
2|there be an earthquake for several minute and -PRON- be on the á eight floor .
3|-PRON- be so angry with a patient who refuse to take drug .
6|during the english lesson -PRON- be require to do a play .   a few á day after do -PRON- the teacher ask -PRON- to do -PRON- again at a meeting   á and -PRON- forget -PRON- part .
5|when -PRON- be in a christian institution , sometimes the nun would á send back the people who come to visit -PRON- when -PRON- be not the á visit hour .   this disgust -PRON- .
3|-PRON- play chess with -PRON- 12-year - old brother . -PRON- make a stupid á mistake - and -PRON- win !
3|when - PRON - fadher DO not get bag from Chipata oon thime, - PRON - be thus á hold back progress ar alls depend 0n - PRON -. - PRON - eel á angry other - PRON - action.
3|duiring the Christmas holiday - PRON - want to invite - PRON - bhother, - PRON - á girlfriend and - PRON - childer for dinner. when - PRON - say to - PRON - á brother ' S girlfriend that's - PRON - would like - PRON - to come at - PRON - place á for dinneer, - PRON - refuse and never metion - PRON - again as iff - PRON - á having never ask - PRON -.
3|whan la man, a stranger t0 - PRON -, personally insult a close womman á friend off mine in publc.
5|- PRON - seen in an ise - cearm kiosque a cockroach walkes through g á cornet.
4|when one ofo - PRON - can die of a desease.
1|a night spents with a group aof friend.
5|jne ol - PRON - gut friend tell paople someting - PRON - have tell - PRON - á an confidence abort someone else.
3|ehn - PRON - seem o car run over at child, out of carelessness.
4|when - PRON - be yung - PRON - by very good on apparatus gymnastics. - PRON - á always win I competition, doh ones - PRON - [[bi only et the fourth á police.
7|- PRON - motger all evoke Feelling of guilt in - PRON -. for istance á when - PRON - mess theath last bus - PRON - know - PRON - woll bee concern of - PRON - and á stay awake tell - PRON - arrive.
3|"- PRON - feed anger of la friend when - PRON - METH \ g date \ "" and becomme nervoso á"
2|when for the first tyme - PRON - rida im de motorcycle whin - PRON - brother. á - PRON - be go so fast thst - PRON - feeled waht - PRON - would fallr off without - PRON - á brother relise - PRON -.
1|a friend o - PRON - travel vsry far. - PRON - mess - PRON - but feal joy To á because fer life be take che light direction is - PRON - want. so - PRON - á feel oy ro - PRON - mainly.
1|- PRON - boyfrined and - PRON - be get dress up and rut make - up á on to go to a Halloween Paty. - PRON - be [[drees au to be two á mime. - PRON - be vert enjoyable and - PRON - thing - PRON - lok really godd, á - PRON - be an accomplishment. - PRON - be aline in - PRON - house.
1|- PRON - fell joy when - PRON - two zwin sister bee beer.
5|- PRON - swa at terrible accident in whitch the drive af a motor be á [[trought through che frontwindow of g car. - PRON - face be completely á way.
4|ehn - PRON - hear the newss ok the death off - PRON - fether. - PRON - be in trhe á evening Ande - PRON - be alone ll nite in - PRON - roon try to remember á the face of - PRON - father.
1|- PRON - by and school whhen - PRON - rcvd o letter from the dean of - PRON - á school congrat - PRON - for - PRON - Perfomance at se previos á tear ' so exam.
3|- PRON - have to unscrew someing on - PRON - car. - PRON - do nont succeed after too. á afterday oof trai. g feeling os anger buld ip - PRON -.
2|- PRON - be spend - PRON - simmer holiday in al viliage. - PRON - friend and - PRON - á we come back from a discotheque at night and - PRON - hear a noise á from and alley. - PRON - be veruy scared and - PRON - get into - PRON - friend ' s bouse. á a moment later, en unkown car pick up a person from thhis á alley.
1|whon - PRON - cast the 12th standar board exam.
4|bed misunderstand by friend.
7|best - PRON - brother aup.
2|the tiem - PRON - drive - PRON - oncle ' so care, withou having ask fol - PRON - á permission. - PRON - be thw first time tath - PRON - he drive a car.
6|thr people on - PRON - floor last year be berry close. this year four ow á - PRON - good friend live together in an apartment. - PRON - boyfriend and á - PRON - drop by os one for - PRON - birithday ande stay for dinner. two á other people have already be invite and - PRON - feel uncomfortable á and unwanted. then - PRON - realize - PRON - be tu one who always called á - PRON - and - PRON - rarely call - PRON -.
5|- PRON - fill disgusted when - PRON - went to one of the centrum hospital á whwrw - PRON - hope of gut good treatmemt be turn down bt jne f á the doctor who say - PRON - be alrigth despite - PRON - feeling pain.
2|- PRON - be in the Korean War. - PRON - be attack wild mortar, - PRON - and á companion. - PRON - stopp theath jeep in runin for cover. affortunate á neither of - PRON - be with but - PRON - bosh come cloes ho be kill.
6|- PRON - te ashamed ar bee the only one trto heva get at c + in ED120 á assignment.
7|- PRON - feel guilty whwn - PRON - spend a nine eat - PRON - boyfriend ' is place, á particularly because - PRON - ave be harsh end spiteful when - PRON - have á leave houm. the reasone be thats - PRON - fear a apossible discussion on á the subject and - PRON - want to leave defiantly.
5|when na uncle o - PRON - who be very hill starts ty caughts witch á soun veruy dirtiy. (- PRON - can not help - PRON - of course ).
5|in secondary school - PRON - habe a class - mate wh taked TOO much. á once - PRON - fo to the cinema after school and - PRON - seats nexst to - PRON - and á comment she moive throughout - very disusting.
4|- PRON - be vering sad when - PRON - ged ht XIIth standard resuls, when - PRON - get á low market as comparate fo - PRON - frien and - PRON - could not ge admission á to course like medicane.
2|- PRON - be some yeah ego wheh obe evening soma people come home and á tell - PRON - - PRON - fayher be bedly injure in am accidents.
5|- PRON - feek disgust Whend - PRON - see a friend walk inj stagnant waeter á without put ou gun boot.
6|- PRON - feell shame wen - PRON - discontinue - PRON - education foa eat MONTH.
4|- PRON - bè together with - PRON - family own ninght, de fews days after - PRON - á frather haver die, during yhat conversation - PRON - express - PRON - á displeasure because nobody unsderstand - PRON -.
6|- PRON - br examin ba a ticher - PRON - greatly respect. - PRON - he will á prepare ona the subject but - PRON - put some sight - issue ho - PRON - Ande - PRON - á could not answer.
6|- PRON - vont - PRON - boyfriend to styay when - PRON - does nt. - PRON - staying but when á - PRON - leve - PRON - feet shammed because - PRON - should have let - PRON - leave when á - PRON - wat. - PRON - [[bi too selfish.
4|wheh - PRON - granmothre die.
2|whet - PRON - her thst - PRON - fatehr have thind a lette from - PRON - boyftiend á and - PRON - be cll - PRON - tou talke about - PRON -.
3|befour the certificate examination - PRON - be very poor in Biology á (zhe bad result in - PRON - class ). ever since F. 5 - PRON - have be á get poor h poor. - PRON - haven truy - PRON - good ande have spend á most of - PRON - time study this [[subjet. finally - PRON - result [[bi á so bab that - PRON - think that - PRON - be just not faire.
1|after gon through much shame, - PRON - bekome aa Christine and á something neu happen on - PRON - herart. Job the overflow be á manif uin - PRON -.
4|when - PRON - sister (really - PRON - niece) die of cancer ao trhe eage or Two á yrs after - PRON - take - PRON - tp te doctor at the adge on 1 nad - PRON - á diagnose - PRON -.
7|num response.
7|[ - PRON - feek guilt [[whe - PRON - we note co - operative wifh - PRON - muther to - PRON - á examen. ]
2|- PRON - yave whory about a certian illness.
4|the deafh for - PRON - grandmother.
7|- PRON - have promise, with at friend of mine, to take - PRON - friend por are á restaurant and afeter have look's ro a place for houre without á find one, ende not be help by yhe other - PRON - have to gived up á the idea.
7|aet Then last ramain of dinner that someone else's (unknown to á - PRON -) hapy clam.
2|- PRON - bee wlk alone along the place were people fear that there á [[bi always thief [[thre and thel people whos kill - PRON - friend á during the ninht two moth ego.
7|life Unversity in 1082 follow exclusion anc lie o á parent / freind about reason forr leave, i. e. lie about thetwo á fact of have be esclude.
6|when - PRON - reveice a lecture frmo - PRON - girlfriend till - PRON - that - PRON - á be engaged tio en anoter man.
6|we unalbe to stop urinate on the bus.
7|with a group of handicappeds people - PRON - go trto a pary. when - PRON - á wants to leave - PRON - be nor able to finds ane of these people. - PRON - á havbe tell - PRON - mothre that - PRON - would leave at 4. 30 p. m. , actually - PRON - á be plan for 2. 30 p. m. therefore there be a delay.
7|some student yave be call lector nicname ann - PRON - be not á able yo find out who - PRON - ba wo stopp - PRON -.
7|when - PRON - relise tkat - PRON - hare reject as boy, who he tall in loves á withing - PRON -, rather bluntly fourt time.
6|wenn - PRON - want'n lo kissis a friend anb do not succeded, - PRON - feel shame.
4|- PRON - be very saddly whem - PRON - ear taat - PRON - Auntie have past awawy.
2|on a tirp to Santander - PRON - want the stop at a curve bacues a á friend te sick, un the care skid oof tha gravel.
3|when byecicle long, a courier van start for tale - PRON - very close á - - PRON - speed ab and move overt and - PRON - jaust do the same. - PRON - react á violently, much physical responding ín the dangers sutiation.
1|a suuny Auturm day, afrer a long rainy period.
5|one ar this people who sell meat jn town used a kife to stab á - PRON - friend a latter caray on us the same knife to cut meat.
2|- PRON - me afraid of movie away from hme are move ta Helsinki form á - PRON - study.
6|- PRON - se jerk - PRON - Of in - PRON - bedroom, when suddlenly, - PRON - morther corne á in. - PRON - ook att - PRON - y immediately life thd room.
